driverId,week,hours-logged,miles-logged
371,41,58,0
768,37,50,3300
492,48,77,1800
525,47,73,800
431,16,69,2400
373,21,72,3000
162,7,76,2100
604,1,65,2100
661,1,67,1700
420,13,69,2900
618,43,65,1000
252,38,52,3600
263,47,64,3400
667,3,78,1500
238,36,80,3500
867,7,71,700
283,47,60,800
641,52,63,0
323,20,66,3100
976,30,76,3900
385,27,64,1900
387,35,62,0
475,10,80,800
998,12,59,1500
396,44,59,3400
111,7,58,2600
354,14,62,3800
936,32,72,600
850,28,74,2600
791,38,70,2500
914,20,68,700
824,22,58,900
809,28,69,1700
519,5,60,3200
33,28,56,900
575,24,65,3400
27,6,79,3000
656,35,69,1800
446,16,65,2700
245,4,58,1200
33,51,73,1500
989,42,53,2400
703,14,76,3800
682,39,56,3000
896,43,70,600
127,26,59,1800
933,9,75,800
453,38,55,1200
556,43,58,0
567,34,69,600
810,50,65,1400
1001,19,56,1400
925,34,73,3500
339,5,56,1600
122,38,58,2800
929,17,69,3900
328,47,65,2200
560,9,70,900
996,15,65,1900
536,26,54,3700
589,14,72,3600
342,26,55,3800
356,37,56,2100
969,1,64,3800
945,24,57,2900
799,13,54,3500
151,14,54,3700
61,47,59,3300
634,15,55,3200
380,1,78,600
295,46,69,1900
854,33,74,1300
1004,36,73,1100
236,24,80,1900
336,43,63,3100
919,29,79,1300
213,37,73,3100
804,2,55,900
474,24,64,0
70,35,51,2200
444,29,56,1100
380,47,62,3300
365,38,60,1100
330,32,75,300
237,19,62,4000
400,44,80,1800
425,50,50,4000
997,31,53,1900
494,45,59,1100
137,44,71,2900
923,27,60,1800
434,17,79,3600
317,33,72,3200
556,22,63,2100
998,13,68,2900
941,47,58,200
231,4,73,1500
710,52,58,400
994,19,62,3600
367,31,61,2100
764,36,54,800
700,3,68,900
750,28,57,2500
978,50,67,3800
246,14,52,1700
964,41,54,2300
797,9,64,3400
965,6,80,3800
450,30,54,200
167,51,55,3100
418,1,54,1400
900,2,77,2600
693,20,63,600
779,11,54,2900
52,3,76,1200
666,51,56,3300
344,41,77,3700
862,49,77,3400
344,13,64,500
883,12,67,2000
610,8,54,3200
974,22,54,400
804,3,53,2400
123,15,74,1200
216,32,59,2300
924,17,59,1800
188,15,62,2000
456,4,68,1400
988,14,67,1400
793,22,64,2600
366,39,72,700
454,52,58,3100
956,20,50,2500
20,9,76,3300
902,28,74,3000
299,45,50,2300
101,28,56,300
192,29,58,3800
232,19,80,3600
385,52,67,1600
74,39,69,1700
866,40,69,1100
903,13,67,1000
758,21,54,400
76,5,54,0
977,4,65,900
994,40,63,1300
929,29,73,300
693,5,79,1600
188,26,64,2200
804,46,62,200
350,47,80,3800
902,30,77,2200
105,10,61,3600
326,49,75,1300
879,31,50,1600
372,17,68,500
716,24,60,3500
425,23,77,3600
364,6,61,100
841,1,79,1700
152,26,70,2300
193,45,80,1500
407,12,54,3100
583,29,75,3900
730,39,80,3100
937,46,51,300
529,39,69,2200
586,29,78,1000
622,47,68,3700
490,50,56,300
629,41,70,3500
603,36,77,2400
92,47,68,500
909,46,59,1900
275,11,70,3400
422,40,56,3800
838,50,78,3700
847,11,54,800
141,26,63,3700
271,3,68,3900
962,5,73,3000
867,23,51,2900
89,4,80,100
512,26,58,1300
670,3,64,2000
202,2,73,900
769,46,75,200
915,20,64,1000
795,47,52,2600
96,28,75,1400
85,50,77,400
837,41,50,1000
723,50,54,2100
270,22,68,3000
34,9,75,200
685,2,59,1200
278,18,69,1700
314,9,68,3700
740,12,74,2600
40,43,69,400
127,22,52,1800
1005,11,78,400
194,40,73,2900
102,10,62,2800
665,2,71,900
174,40,68,3400
193,33,63,1900
809,14,68,100
654,27,52,3100
930,19,69,3500
401,41,66,2800
551,48,62,2600
679,12,74,3400
640,31,55,3100
58,34,80,1700
499,25,52,3300
242,18,58,800
259,51,56,2300
637,6,72,4000
931,29,71,3300
683,52,73,2000
791,51,64,2700
630,29,53,900
605,35,69,4000
325,30,70,1800
838,3,62,2400
999,35,74,600
408,7,63,3100
834,7,63,1300
17,21,64,300
760,41,67,3100
394,6,54,3500
840,27,77,1000
788,45,80,3700
82,46,60,2400
967,50,51,2700
140,32,63,400
890,18,51,3400
806,37,54,2300
248,48,63,3200
90,29,54,1400
430,40,80,4000
706,36,56,2400
408,11,62,4000
954,38,66,300
311,12,51,2700
279,5,67,3400
769,28,55,1600
781,3,77,3000
457,28,64,3900
889,2,67,2900
932,1,75,300
38,48,58,1700
434,5,77,3800
798,48,62,2500
915,5,80,1300
354,27,60,1300
922,27,72,3800
398,12,62,1800
219,28,68,2300
887,40,54,3300
758,50,68,3600
102,51,56,900
548,33,53,3800
489,10,53,1900
649,47,75,1900
808,25,56,300
200,7,55,400
193,38,57,3600
984,36,52,3000
252,50,65,2800
26,34,67,2600
16,12,50,3200
417,40,71,3100
379,13,64,1400
961,11,60,3400
809,29,59,1100
342,31,55,3000
419,46,62,1200
909,29,80,3800
616,13,65,400
370,20,80,2300
517,49,76,1200
554,17,75,3500
337,51,73,200
674,15,73,3700
489,39,58,1000
798,16,65,1100
129,50,62,3400
279,19,78,900
130,14,76,1200
495,32,64,500
822,9,60,2300
698,4,76,3500
558,34,80,1800
66,26,52,200
517,39,70,500
845,51,70,1900
173,42,61,1300
762,3,76,4000
236,13,79,2200
963,4,63,1100
218,12,68,1800
822,42,80,300
622,27,76,400
146,26,77,2900
713,52,65,900
902,12,80,3200
718,40,74,3200
858,50,73,2500
36,41,59,2900
142,6,69,2300
880,41,64,2500
634,21,68,600
738,20,59,1700
170,23,68,1200
746,11,50,4000
826,28,61,4000
130,9,67,1700
49,41,72,600
289,19,50,2100
994,1,67,400
740,46,71,2400
478,25,52,2600
938,46,71,1000
497,8,68,3900
21,22,60,3600
322,24,77,1000
115,28,77,100
567,39,63,2500
898,18,56,3800
398,18,61,1400
133,38,58,4000
243,2,70,1600
84,13,74,500
451,30,51,4000
308,51,50,900
675,47,51,3100
531,2,79,600
345,49,76,2700
792,27,50,400
880,24,59,1900
450,44,56,1300
122,30,65,800
162,49,68,2000
570,15,62,1500
315,32,73,3300
299,49,75,3800
847,45,69,2600
848,18,70,1600
377,1,69,1400
758,4,51,2400
912,42,79,2400
332,45,59,1500
207,37,54,2500
336,33,57,600
431,17,65,4000
910,8,71,1600
774,52,53,1200
633,10,70,2100
866,2,78,3900
469,36,64,1700
551,37,56,2700
929,39,61,0
373,19,79,1800
220,36,76,3500
781,21,58,2800
88,37,60,1900
338,22,68,1200
218,22,58,3900
788,5,59,3200
696,34,75,2400
535,27,54,1800
104,38,50,3900
568,34,73,700
456,18,72,2900
674,30,77,1000
1004,32,68,3000
